,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,1270.1459067351818,130038.5,65.8654394319201,,,,579987.7892750001,,,9845.889624999985,,,58.86137,,,239.74519499999974,,,12.061814999999982,,,0.0,,
Total_average,0.6138936233616152,62.85089415176414,0.031834431818231076,0.00026382693867473917,12.19745150145134,19.283951002073422,280.3227594369261,2.3232371340298856,28373.79532022672,4.758767339294338,0.03696004014448198,481.67437682525576,0.02844918801353311,0.0002246339716822616,2.879578666191969,0.11587491300144985,0.0009573092484540372,11.728662598985256,0.005829780086998541,4.819228304976344e-05,0.5900804746738689,0.0,0.0,0.0
2040_29.11,0.5084577388455469,46.0,0.023462436180000004,0.00025228426000000007,10.853838665946022,21.671139984984578,206.62451000000004,2.221768924731183,95585.51715451702,2.92068,0.03140516129032258,1351.1209693508997,0.018299999999999997,0.00019677419354838707,8.465670234028194,0.08465500000000001,0.0009102688172043012,39.16182041866978,0.0041400000000000005,4.451612903225807e-05,1.915184413599821,0.0,0.0,0.0
1800_46.2,0.7239207626738259,60.0,0.026779115640000004,0.00022131500528925623,8.70102301140851,27.033034712785824,235.8376,1.9490710743801654,76627.93693942,2.78647,0.023028677685950412,905.3749166527543,0.01838,0.000151900826446281,5.971997174948098,0.09288500000000001,0.0007676446280991736,30.180030337054088,0.004485000000000001,3.706611570247935e-05,1.4572582877933746,0.0,0.0,0.0
3900_41.0,0.6883503438065132,64.0,0.03311528106,0.0002567076051162791,11.315767901668222,20.786486533492617,291.63883500000003,2.260766162790698,99655.42379041234,4.189625,0.03247771317829458,1431.6298270012849,0.026115,0.00020244186046511627,8.923713442644281,0.120515,0.0009342248062015504,41.180981257525396,0.005945000000000001,4.608527131782946e-05,2.0314561139774177,0.0,0.0,0.0
2280_29.7,0.5089075192693858,42.0,0.021700408940000002,0.0002552989287058824,10.029843802138258,23.451517465706605,191.111585,2.248371588235294,88331.02415852761,2.6533500000000005,0.031215882352941184,1226.3679512209021,0.016725,0.00019676470588235294,7.730229326764124,0.07743499999999999,0.0009109999999999999,35.79015293978952,0.0038450000000000003,4.523529411764706e-05,1.7771439020273874,0.0,0.0,0.0
3660_96.0,0.4387604205144076,36.0,0.02613189424,0.00035797115397260274,14.009046186743475,16.790226398620526,230.08256,3.1518158904109588,123344.95081762498,3.6613049999999996,0.050154863013698626,1962.7888578487841,0.022285000000000003,0.0003052739726027398,11.946764800299391,0.096425,0.001320890410958904,51.69247457342916,0.004985,6.828767123287671e-05,2.672408459927864,0.0,0.0,0.0
300_120.2,0.7096097757866722,83.5,0.0385889249,0.00022969598154761906,12.791109259844994,18.388949099400076,339.805655,2.022652708333333,112635.71792895928,5.8440650000000005,0.03478610119047619,1937.1380293788914,0.034749999999999996,0.00020684523809523807,11.518617010747905,0.13992,0.0008328571428571428,46.37942135665746,0.006785,4.038690476190476e-05,2.2490306882855986,0.0,0.0,0.0
3240_119.1,0.6048143514628069,111.0,0.03675953380000001,0.00016484095874439467,14.29595018864365,16.453265015640834,323.57192,1.4509951569506725,125838.59403472049,6.992900000000001,0.031358295964125565,2719.570672960116,0.039485000000000006,0.00017706278026905832,15.355896412336827,0.1355,0.0006076233183856503,52.69656740209294,0.0065450000000000005,2.9349775784753366e-05,2.545380322115855,0.0,0.0,0.0
