,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,1955.692571642494,200658.0,101.55578461287975,,,,894265.7773099975,,,15199.190795000026,,,90.8374799999998,,,369.64739999999983,,,18.595345000000005,,,0.0,,
Total_average,0.607735416918115,62.35487880671224,0.03155866519977618,0.0002638601490250472,12.214317333584686,19.257323244533964,277.8948966159097,2.323533154745937,28413.073782486004,4.723179240211319,0.037003982580819675,482.916533820029,0.028227930391547484,0.0002248387786772834,2.8861352932668436,0.11486867619639522,0.0009575263904135933,11.744627957582356,0.005778541019266627,4.8195336742775275e-05,0.5908208978823858,0.0,0.0,0.0
2820_29.7,0.505084053808866,40.0,0.024771408440000003,0.0003058198572839507,11.53591804537516,20.389799596266556,218.133475,2.6930058641975307,101583.64215130963,3.2800500000000006,0.04049444444444445,1527.502486440484,0.02029,0.0002504938271604938,9.448949086104607,0.089835,0.001109074074074074,41.83569941597868,0.004605,5.685185185185185e-05,2.144524915796536,0.0,0.0,0.0
3600_48.3,0.49166612874323806,36.0,0.02658494922,0.00036417738657534246,12.718346827912027,18.494153390120264,234.082495,3.206609520547945,111986.00881709652,3.897285,0.05338746575342466,1864.476847671749,0.023524999999999997,0.0003222602739726027,11.254454791342663,0.097815,0.001339931506849315,46.7950901345455,0.00522,7.150684931506849e-05,2.4972690334031333,0.0,0.0,0.0
2460_29.5,0.5086835593333447,40.5,0.02601301684,0.0003172319126829268,12.02840769906292,19.554962135385477,229.03040000000001,2.7930536585365857,105903.55757750165,3.46341,0.04223670731707317,1601.4792811325265,0.02137,0.000260609756097561,9.881478726977774,0.094445,0.0011517682926829268,43.6713270177546,0.004870000000000001,5.9390243902439036e-05,2.251885886775001,0.0,0.0,0.0
1560_8.7,0.6711516468270348,60.0,0.03336756532,0.0002757650026446281,11.694158569491059,20.11389324904556,293.83588,2.428395702479339,102979.14580139784,4.61223,0.038117603305785126,1616.424466745114,0.028175000000000002,0.0002328512396694215,9.874346975442156,0.120945,0.0009995454545454546,42.386970539302624,0.00617,5.099173553719008e-05,2.1623680865475814,0.0,0.0,0.0
3300_98.12,0.6282182021231982,54.0,0.0255190152,0.00023411940550458718,9.554732093440139,24.617650689090784,224.67081500000003,2.061200137614679,84120.38747247003,3.159705,0.02898811926605505,1183.0446642511217,0.019860000000000003,0.00018220183486238533,7.435905260784562,0.091735,0.000841605504587156,34.3470679304165,0.004569999999999999,4.192660550458715e-05,1.7110819255682495,0.0,0.0,0.0
3240_9.12,0.7143643562923183,62.5,0.030628101680000006,0.0002430801720634921,10.084756640216652,23.323820841263387,269.69478000000004,2.1404347619047623,88801.00542479227,3.5330400000000006,0.028040000000000006,1163.3058089074177,0.022600000000000002,0.00017936507936507938,7.4413851191346945,0.10823,0.000858968253968254,35.63633236477646,0.00525,4.166666666666667e-05,1.7286403484715547,0.0,0.0,0.0
1740_96.3,0.43787688811590836,43.0,0.01875224942,0.00021554309678160918,10.07317704557424,23.350632679239844,165.11039000000002,1.897820574712644,88692.62312392019,2.1029600000000004,0.02417195402298851,1129.6505248681153,0.013499999999999998,0.00015517241379310343,7.2518174790388565,0.065775,0.0007560344827586207,35.33246627287265,0.003055,3.511494252873563e-05,1.6410594369232379,0.0,0.0,0.0
120_11.1,0.8600274384022387,74.5,0.03442689504,0.00022951263360000002,9.415657828076169,24.98126646050967,303.19284500000003,2.0212856333333336,82922.38034025548,3.7609,0.025072666666666667,1028.5954479620611,0.024435,0.0001629,6.682902967628218,0.12083,0.0008055333333333334,33.046661165480565,0.005835,3.89e-05,1.5958558958915756,0.0,0.0,0.0
1320_98.13,0.6269970971040605,55.0,0.02684780036,0.0002418720753153153,10.07182796214806,23.353760408551416,236.43716,2.1300645045045044,88698.30553890765,2.9818500000000006,0.02686351351351352,1118.6272173595378,0.019275,0.00017364864864864864,7.230926979762593,0.09448000000000001,0.0008511711711711713,35.44373442531621,0.00461,4.1531531531531537e-05,1.7294201492454246,0.0,0.0,0.0
3660_98.0,0.6223024209379193,60.0,0.032614675120000006,0.0002695427695867769,12.327547527811323,19.080442121476487,287.17343999999997,2.373334214876033,108544.5192171846,4.02705,0.033281404958677686,1522.126162202059,0.025249999999999998,0.00020867768595041322,9.543880904285269,0.11806499999999999,0.0009757438016528925,44.625675206512476,0.00575,4.752066115702479e-05,2.173359017807536,0.0,0.0,0.0
1920_8.9,0.6713202411117541,64.0,0.034663328980000005,0.0002687079765891473,12.145227279231577,19.366871586369893,305.254995,2.3663177906976745,106954.27708443074,5.148235,0.0399087984496124,1803.8222525589276,0.030875,0.00023934108527131782,10.817884585252402,0.12662,0.0009815503875968993,44.364714046466695,0.00651,5.0465116279069766e-05,2.280953154655648,0.0,0.0,0.0
1020_11.0,0.859506067831809,75.5,0.04188050802,0.0002755296580263158,11.461147808211823,20.52281857281561,368.76668500000005,2.4260966118421057,100917.8179383816,5.061365,0.033298453947368425,1385.1086130236974,0.03196,0.00021026315789473687,8.74627126718531,0.15108,0.0009939473684210526,41.345014488309026,0.007515,4.944078947368421e-05,2.056577865234593,0.0,0.0,0.0
