,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,1402.2844922284999,142072.5,72.42692771760002,,,,637769.4035449997,,,10720.596295000016,,,64.24807999999994,,,263.50056999999964,,,13.258284999999978,,,0.0,,
Total_average,0.6099541071024358,61.79752066115702,0.031503665818877785,0.0002646544461770206,12.148678840411641,19.361369264428145,277.41165878425386,2.330529547290702,28260.493632250495,4.663156283166601,0.03691775123611395,475.0452775638669,0.02794609830361024,0.00022463013026084816,2.8469262489419624,0.11461529795563273,0.0009600978617300735,11.676095057535862,0.005766979121357102,4.834238225352192e-05,0.5874939699747207,0.0,0.0,0.0
4020_48.4,0.3231384197417556,27.0,0.01961741272,0.0003566802312727273,14.279672645729383,16.472020258426596,172.772055,3.1413100909090907,125762.16970827703,2.7609650000000006,0.050199363636363646,2009.7286502068466,0.016814999999999997,0.00030572727272727267,12.239773866466297,0.072165,0.0013120909090909092,52.52948445278266,0.0037150000000000004,6.754545454545456e-05,2.704178407012923,0.0,0.0,0.0
3360_9.2,0.7156216257519881,79.0,0.03042997268,0.00019138347597484276,10.001916521293971,23.516998627551448,267.94108000000006,1.685164025157233,88068.57446003302,3.776255,0.02375003144654088,1241.2034565493723,0.023605,0.00014845911949685535,7.7586411912987705,0.10752500000000001,0.0006762578616352202,35.34199932617667,0.005050000000000001,3.176100628930818e-05,1.6598660460096923,0.0,0.0,0.0
1260_48.2,0.4909594070350193,37.5,0.027496342620000003,0.0003617939818421053,13.173296420934813,17.85544404287101,242.11965499999997,3.1857849342105258,115997.7539096242,3.7829800000000007,0.04977605263157896,1812.3980190085363,0.023165,0.0003048026315789474,11.098181885797107,0.100595,0.0013236184210526317,48.194327943093455,0.005265000000000001,6.927631578947369e-05,2.522422949653433,0.0,0.0,0.0
1440_98.22,0.6291984382957467,51.0,0.032625242,0.0003167499223300971,12.196387805495187,19.285632832876665,287.31446,2.789460776699029,107407.58877087974,4.36238,0.042353203883495144,1630.801029305349,0.026900000000000007,0.0002611650485436894,10.056104165229506,0.11801,0.0011457281553398058,44.11601682300125,0.006149999999999999,5.9708737864077663e-05,2.299072141864737,0.0,0.0,0.0
3420_98.20,0.6274495051554645,49.0,0.02841301946,0.0002870001965656566,10.651327222147462,22.083168810650033,250.22662499999998,2.5275416666666666,93803.67568187293,3.7555,0.03793434343434343,1407.8426067700584,0.023195,0.0002342929292929293,8.695222810286646,0.102855,0.001038939393939394,38.55775564354529,0.0053,5.3535353535353534e-05,1.9868368568449764,0.0,0.0,0.0
2160_98.7,0.627917537974598,52.0,0.030596401040000002,0.00029139429561904763,11.461272830535831,20.522594704968544,269.44115,2.5661061904761904,100931.43072239353,3.8456800000000007,0.036625523809523816,1440.5742571262574,0.02409,0.00022942857142857143,9.024004559446322,0.11034,0.0010508571428571429,41.33286272682886,0.005605,5.338095238095238e-05,2.0996075365585987,0.0,0.0,0.0
300_96.0,0.4372984397073922,42.5,0.01961212928,0.00022804801488372095,10.549015705649408,22.29734637499759,172.744915,2.008661802325581,92916.41898691744,2.31403,0.026907325581395348,1244.6756017582143,0.014680000000000002,0.00017069767441860468,7.896111041693751,0.069545,0.0008086627906976744,37.40701923668882,0.003265,3.796511627906977e-05,1.756185459886246,0.0,0.0,0.0
3120_96.0,0.436733243314972,37.0,0.02428797368,0.0003238396490666667,13.08097609589399,17.98146066316768,213.85634500000003,2.851417933333334,115178.39132063232,3.25503,0.0434004,1753.088593655698,0.02001,0.0002668,10.776952212130308,0.08876500000000001,0.0011835333333333334,47.806904703135785,0.004529999999999999,6.039999999999999e-05,2.4397597961494397,0.0,0.0,0.0
300_120.2,0.7096097757866722,83.5,0.0385889249,0.00022969598154761906,12.791109259844994,18.388949099400076,339.805655,2.022652708333333,112635.71792895928,5.8440650000000005,0.03478610119047619,1937.1380293788914,0.034749999999999996,0.00020684523809523807,11.518617010747905,0.13992,0.0008328571428571428,46.37942135665746,0.006785,4.038690476190476e-05,2.2490306882855986,0.0,0.0,0.0
3300_29.4,0.5099430482495318,41.5,0.031758757840000006,0.00037808045047619057,14.648965339433811,16.056769311275172,279.68679499999996,3.329604702380952,129007.63268178023,4.238845,0.05046244047619048,1955.1990602738354,0.02617,0.000311547619047619,12.071108853323551,0.11678500000000001,0.0013902976190476191,53.86795748702298,0.006025000000000001,7.172619047619048e-05,2.7790764555320755,0.0,0.0,0.0
2400_9.9,0.7150468648437953,115.5,0.05422394472,0.0002337238996551724,17.836996259697663,13.18692080659445,477.386175,2.057699030172414,157036.44325171428,11.63734,0.050160948275862066,3828.109355095809,0.06442500000000001,0.00027769396551724143,21.192638970937303,0.20398499999999997,0.0008792456896551723,67.10097726793394,0.010464999999999999,4.510775862068965e-05,3.4424674711813554,0.0,0.0,0.0
1500_103.0,0.4998609774245669,48.0,0.02072033082,0.00021361165793814434,9.750178583961896,24.124179375653757,182.496815,1.8814104639175258,85875.87489369322,2.53141,0.026097010309278353,1191.1826979810248,0.015910000000000004,0.00016402061855670108,7.486624736758609,0.074295,0.0007659278350515464,34.960325884191114,0.003565,3.6752577319587626e-05,1.677549791737551,0.0,0.0,0.0
3240_120.15,0.7064499850904555,143.5,0.05398090648000001,0.0001874337030555556,17.97313648269305,13.087034493431416,475.248515,1.650168454861111,158235.69814369286,11.619620000000001,0.04034590277777778,3868.7941673303635,0.0644,0.0002236111111111111,21.44221105131453,0.2033,0.0007059027777777778,67.68946439025224,0.010459999999999999,3.631944444444444e-05,3.4826945278998442,0.0,0.0,0.0
1260_98.13,0.6274849547040602,51.0,0.02803789522,0.0002722125749514563,10.510108769640478,22.379887997315233,246.85958,2.3966949514563107,92536.22699813217,3.490705,0.033890339805825245,1308.5036856317872,0.02185,0.0002121359223300971,8.190553349840375,0.10022,0.0009730097087378641,37.567837836201484,0.005085000000000001,4.936893203883496e-05,1.9061310656264672,0.0,0.0,0.0
1200_32.1,0.9204231259453415,97.0,0.03062149738,0.0001570333198974359,7.825354504705416,30.058070463481087,269.65049999999997,1.3828230769230767,68909.4569310401,2.94292,0.015091897435897436,752.0661708081259,0.01956,0.00010030769230769231,4.998577705478554,0.105175,0.0005393589743589743,26.877577207244723,0.004540000000000001,2.3282051282051286e-05,1.1602015737664946,0.0,0.0,0.0
