,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,28.74450602240044,3057.0,1.5469027343799995,,,,13620.834105000002,,,245.45265500000002,,,1.4466750000000002,,,5.651194999999999,,,0.28576500000000005,,,0.0,,
Total_average,0.6387668004977876,67.93333333333334,0.034375616319555546,0.00026610492805990933,12.658238576728861,18.581973761861164,302.6852023333334,2.343250687592178,29444.287394193594,5.454503444444445,0.0384812176182459,530.5973525391418,0.032148333333333334,0.00023203631149085557,3.127291187722385,0.1255821111111111,0.0009683820145795941,12.216242296024191,0.0063503333333333346,4.8955567729434585e-05,0.6177409343905765,0.0,0.0,0.0
3780_98.22,0.6218810937939436,52.5,0.02653079396,0.0002502905090566038,10.034783624387991,23.43997298880473,233.60788,2.203847924528302,88357.87320523878,3.2186700000000004,0.03036481132075472,1217.4025796968233,0.02032,0.00019169811320754717,7.685665327430101,0.09479000000000001,0.000894245283018868,35.85256970408954,0.004725,4.4575471698113206e-05,1.7871441275643323,0.0,0.0,0.0
3600_48.4,0.4885985437142856,38.5,0.024951045400000003,0.0003198851974358975,12.011623129194684,19.58228747057971,219.71782499999998,2.816895192307692,105773.83297400233,3.3333649999999997,0.04273544871794872,1604.7072773972036,0.020550000000000002,0.0002634615384615385,9.892926382353131,0.09073500000000001,0.001163269230769231,43.68051947945554,0.004679999999999999,5.999999999999999e-05,2.2529876140833403,0.0,0.0,0.0
3060_98.31,0.6253408069610079,53.0,0.02469215684,0.00023076782093457945,9.287682838691648,25.325483351376928,217.44093,2.0321582242990655,81788.01094923518,2.879905,0.026914999999999998,1083.244546796029,0.01835,0.00017149532710280374,6.902150395137039,0.08738,0.0008166355140186916,32.86702460638008,0.004319999999999999,4.037383177570093e-05,1.6249204199995642,0.0,0.0,0.0
180_58.0,0.8912110979153435,92.0,0.03928633898,0.0002123585890810811,10.368742588831243,22.685012680083112,345.90326999999996,1.8697474054054053,91293.36202823222,5.2629850000000005,0.02844856756756757,1389.0461196107103,0.032240000000000005,0.0001742702702702703,8.509020431608546,0.14076,0.0007608648648648648,37.15042543279215,0.006785,3.667567567567568e-05,1.7907476311558308,0.0,0.0,0.0
2520_44.0,0.711347629110226,56.0,0.029378568120000004,0.00025998732849557524,9.714352442036915,24.213148380977863,258.765375,2.2899590707964603,85563.66812290536,3.75795,0.033256194690265486,1242.6082377616103,0.02343,0.00020734513274336283,7.7473917989208285,0.105655,0.000935,34.93600855804439,0.005405,4.783185840707965e-05,1.7872237589913391,0.0,0.0,0.0
3480_41.0,0.6890172695409226,97.5,0.036079290900000005,0.0001840780147959184,12.316661489450336,19.097306303792198,317.63806,1.6206023469387756,108434.51641078996,7.182715,0.036646505102040816,2452.017958872835,0.04025500000000001,0.00020538265306122456,13.742155011639195,0.13118,0.0006692857142857143,44.781912667415945,0.006560000000000001,3.346938775510204e-05,2.2394370109639326,0.0,0.0,0.0
3360_96.0,0.4413039377597341,37.0,0.0227386049,0.00030318139866666665,12.119679414540492,19.40769628130238,200.22431,2.6696574666666666,106719.58367144916,3.0875150000000002,0.04116686666666667,1645.6459027345597,0.01892,0.00025226666666666665,10.084362498558832,0.08295499999999999,0.0011060666666666665,44.21502595496553,0.0042250000000000005,5.633333333333334e-05,2.251925557949845,0.0,0.0,0.0
