,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,698.6049291910552,71755.0,36.52234300721998,,,,321605.0014849999,,,5459.573539999991,,,32.639634999999984,,,133.00461499999994,,,6.6952550000000075,,,0.0,,
Total_average,0.6080112525596651,62.449956483899044,0.03178619931002609,0.0002656874616183065,12.296799860785693,19.128152020612433,279.8999142602262,2.3396263895264617,28605.091596533533,4.751587067014788,0.03748286449816589,485.60066065077854,0.028406993037423833,0.00022740820517437477,2.9031257117932863,0.11575684508268054,0.0009649992054501811,11.830068491687086,0.0058270278503046195,4.8624511111545395e-05,0.5955080973642196,0.0,0.0,0.0
420_98.3,0.6272669562493572,82.5,0.030739053920000002,0.00018517502361445784,11.526652649380482,20.4061893993827,270.61543,1.6302134337349399,101476.44983774888,4.7749,0.0287644578313253,1790.5109857566774,0.028065,0.00016906626506024095,10.52392527911813,0.11049,0.0006656024096385543,41.431979479414295,0.00513,3.090361445783133e-05,1.9236677955416355,0.0,0.0,0.0
3420_103.0,0.500355550663638,41.0,0.02478725876,0.0002986416718072289,11.652386941557632,20.185997794603974,218.31077,2.6302502409638553,102626.98228068976,3.3042249999999997,0.03980993975903614,1553.302388729663,0.020395000000000003,0.00024572289156626513,9.587604421049258,0.08972,0.0010809638554216867,42.176997727704794,0.004595,5.536144578313253e-05,2.160090331685282,0.0,0.0,0.0
2280_32.0,0.9199217916666623,80.0,0.0375454455,0.00023320152484472052,9.600005334457244,24.50155483350603,330.63640000000004,2.053642236024845,84540.51247749181,4.6141250000000005,0.028659161490683233,1179.7868962256027,0.029015000000000003,0.00018021739130434785,7.418853367428464,0.13528,0.0008402484472049691,34.58978058058669,0.006745,4.18944099378882e-05,1.7246309137792515,0.0,0.0,0.0
2400_120.3,0.7049248359870656,91.0,0.05410770904000001,0.0002956705412021858,18.05433320248643,13.02817747219603,476.42742,2.603428524590164,158971.4208953495,10.171650000000001,0.055582786885245906,3394.014671427144,0.057874999999999996,0.0003162568306010929,19.31138007194958,0.20285999999999998,0.0011085245901639343,67.6890982530573,0.010595,5.789617486338798e-05,3.535275539737465,0.0,0.0,0.0
540_98.0,0.625882654178867,47.0,0.029496124659999998,0.0003104855227368421,11.085037426633033,21.219148664218693,259.74294000000003,2.7341362105263163,97614.8644743251,3.9443150000000005,0.0415191052631579,1482.3262344264203,0.02434,0.0002562105263157895,9.147296944067365,0.10652,0.001121263157894737,40.031638064176484,0.005580000000000001,5.873684210526317e-05,2.097038494161705,0.0,0.0,0.0
780_41.0,0.690755443239155,69.0,0.027562385620000004,0.000198290544028777,9.385504191083784,25.06152597828558,242.72610000000003,1.7462309352517988,82652.74494898463,3.57988,0.02575453237410072,1219.0156253817415,0.02215,0.00015935251798561152,7.542486368874256,0.09903500000000001,0.0007124820143884893,33.723256773880905,0.00478,3.43884892086331e-05,1.6276787739602234,0.0,0.0,0.0
1560_41.0,0.6870202934278258,59.5,0.03165573076,0.00026379775633333333,10.837968819285484,21.70287265318609,278.7773,2.323144166666667,95444.95143174498,4.1535,0.034612500000000004,1422.0333067712213,0.02571,0.00021425,8.802329677883254,0.115655,0.0009637916666666666,39.59678875517649,0.005825,4.854166666666667e-05,1.9943045652924918,0.0,0.0,0.0
