,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,415.4816178361312,41548.5,21.536544369259985,,,,189645.26591000016,,,3148.7226099999916,,,18.928950000000025,,,78.38157999999994,,,3.9425799999999995,,,0.0,,
Total_average,0.6030212160176069,60.302612481857764,0.03125768413535557,0.00026894245423128495,12.192403457039584,19.291935173646777,275.24712033381735,2.3683009762908496,28362.361368693375,4.569989274310583,0.03725967558118723,470.90660600500644,0.02747307692307696,0.00022712828731627879,2.8309154866260204,0.11376136429608119,0.0009764403749984421,11.722342163100219,0.005722177068214804,4.915593179878239e-05,0.5896317957024557,0.0,0.0,0.0
3960_120.1,0.7035586776091396,108.5,0.04244583610000001,0.00019470567018348628,14.190571561170648,16.575446315902337,373.66306999999995,1.7140507798165134,124923.73862325014,9.559059999999999,0.0438488990825688,3195.80287375995,0.05247,0.00024068807339449542,17.541868843399314,0.156185,0.0007164449541284403,52.21606223187195,0.00803,3.6834862385321107e-05,2.6846046657613205,0.0,0.0,0.0
420_32.0,0.9215729139366423,89.0,0.04300984332,0.00024027845430167597,10.977495757053084,21.427023276508937,378.77173,2.116043184357542,96674.73159645671,5.070105,0.028324608938547484,1294.0539148495934,0.03226,0.00018022346368715082,8.233789890554116,0.15535,0.000867877094972067,39.650318025343516,0.007509999999999999,4.1955307262569826e-05,1.9167936168028956,0.0,0.0,0.0
3600_98.11,0.6290802847327297,57.0,0.026612687280000005,0.00023141467200000004,9.950565786558862,23.63836008419551,234.341015,2.037747956521739,87620.82767939386,3.002165,0.026105782608695654,1122.5187452999103,0.0193,0.00016782608695652175,7.216329476990195,0.09460500000000001,0.0008226521739130436,35.37310104511178,0.004530000000000001,3.93913043478261e-05,1.6937809601432947,0.0,0.0,0.0
1500_98.6,0.6234220467471746,50.5,0.026275867980000003,0.00025760654882352944,9.91379727365238,23.726030562404073,231.42705999999998,2.268892745098039,87316.65717850761,3.3058750000000003,0.032410539215686276,1247.2956016897888,0.020690000000000004,0.000202843137254902,7.80626793177653,0.0941,0.0009225490196078432,35.503615871443756,0.004765,4.6715686274509804e-05,1.7978185932776776,0.0,0.0,0.0
1860_50.0,0.6918747153361721,101.0,0.046327843640000005,0.00022821597852216752,15.74997054488433,14.934317269599816,407.8499,2.0091128078817735,138655.79329895228,10.825700000000001,0.053328571428571434,3680.388352471013,0.059045,0.00029086206896551724,20.07339296966025,0.17262,0.0008503448275862069,58.685224734063034,0.009035000000000001,4.4507389162561584e-05,3.0716081883458446,0.0,0.0,0.0
3420_131.0,0.43340655978888903,44.0,0.02210591296,0.000248381044494382,11.997150162560066,19.605910896922712,194.672415,2.1873305056179775,105651.10789539681,2.938025,0.03301151685393258,1594.5022116994503,0.018085,0.00020320224719101124,9.81495136991161,0.08066,0.0009062921348314606,43.77517155084713,0.003895,4.376404494382023e-05,2.1138642845344604,0.0,0.0,0.0
2520_120.11,0.7092035017780478,130.5,0.04334270004,0.00016543015282442748,14.375078012724508,16.362697781253587,381.73193000000003,1.4569920992366414,126605.5476154847,9.203165,0.03512658396946565,3052.329797564124,0.051185,0.00019536259541984733,16.976062114318246,0.160465,0.0006124618320610687,53.21996301990968,0.00841,3.2099236641221374e-05,2.7892679961202784,0.0,0.0,0.0
1320_120.6,0.7047446242477806,82.0,0.04562382526,0.0002765080318787879,15.227374987493084,15.446855239156257,401.84916499999997,2.4354494848484847,134120.88725560714,7.179695000000001,0.043513303030303034,2396.2898208949778,0.042510000000000006,0.0002576363636363637,14.188106916275068,0.169825,0.0010292424242424243,56.6806694202873,0.008685000000000002,5.2636363636363644e-05,2.8986993311655835,0.0,0.0,0.0
2280_29.1,0.5056989509004923,40.0,0.02275049264,0.0002808702795061729,10.58190533307677,22.228043977006923,200.34010000000004,2.473334567901235,93183.91501077989,3.0703549999999997,0.037905617283950616,1428.1099958167288,0.01888,0.00023308641975308643,8.781628417892993,0.083115,0.001026111111111111,38.65916556955382,0.00427,5.271604938271605e-05,1.9860992237501633,0.0,0.0,0.0
2820_8.2,0.6751123066879243,63.5,0.03057526728,0.000238869275625,10.65269166032909,22.080340312496013,269.29784000000006,2.1038893750000005,93825.73267606898,3.76396,0.0294059375,1311.3967225411702,0.023665000000000002,0.00018488281250000002,8.24509384768616,0.109085,0.0008522265625,38.006172084295144,0.005235,4.08984375e-05,1.8239199785606188,0.0,0.0,0.0
3420_15.0,0.8282214724424181,74.0,0.04092288452000001,0.0002746502316778524,11.622107056524964,20.238589780679956,360.37446,2.418620536912752,102346.41579359939,6.056794999999999,0.04064963087248322,1720.1309422609852,0.03644,0.00024456375838926176,10.348966992607528,0.148725,0.0009981543624161073,42.23792853939502,0.007825,5.2516778523489934e-05,2.2223015015684386,0.0,0.0,0.0
3420_98.1,0.6269176587309365,55.5,0.02546089736,0.00022732944071428572,9.552748025280481,24.622763678229465,224.20877000000002,2.001864017857143,84121.53957436423,2.89909,0.025884732142857143,1087.7179967788218,0.01857,0.00016580357142857144,6.967332231901294,0.090075,0.0008042410714285714,33.79550085021589,0.004325,3.861607142857143e-05,1.6227093108763109,0.0,0.0,0.0
3180_47.5,0.40797247485384064,34.0,0.02207949576,0.0003199926921739131,12.729853546810787,18.477436228092586,194.41822000000002,2.817655362318841,112091.1226566725,3.0285699999999998,0.04389231884057971,1746.1110967085212,0.01854,0.0002686956521739131,10.68917004823266,0.08127000000000001,0.001177826086956522,46.85592501725287,0.00413,5.9855072463768115e-05,2.381136585717415,0.0,0.0,0.0
720_98.31,0.6229817234906074,62.5,0.036169109379999995,0.0002870564236507936,13.656129557950628,17.224137784136047,318.47619000000003,2.52758880952381,120244.93238330606,4.982655,0.039544880952380956,1881.267838466486,0.030375000000000003,0.0002410714285714286,11.468486297650452,0.13283,0.0010542063492063492,50.151737775042285,0.006620000000000001,5.253968253968255e-05,2.4994692770517197,0.0,0.0,0.0
