,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,1122.3366201595866,115502.5,58.38231976038006,,,,514095.90530500014,,,8760.104695000005,,,52.32258500000002,,,212.5458599999999,,,10.693414999999973,,,0.0,,
Total_average,0.6102972377159253,62.807232191408374,0.03174677529112564,0.00026303557651364293,12.235545405582663,19.223912731902733,279.5518789042959,2.3162769917296715,28462.510608840825,4.763515331702015,0.03703914892288375,484.9962239401032,0.028451650353452974,0.00022481919552353762,2.896798273001129,0.11557686786296895,0.0009546741763176875,11.767432365613036,0.005814798803697647,4.805414834785154e-05,0.5920324101816506,0.0,0.0,0.0
1980_98.27,0.6237475712167095,64.0,0.034589360820000005,0.00026813458,13.043639536106227,18.032931410980304,304.59134500000005,2.361173217054264,114861.32197333188,4.5082699999999996,0.03494782945736434,1700.0675183751948,0.02785,0.00021589147286821706,10.50222821320577,0.12552,0.0009730232558139534,47.333561411906224,0.006095,4.7248062015503876e-05,2.2984230147033817,0.0,0.0,0.0
2580_103.0,0.5022211021270869,51.5,0.02654136084,0.0002552053926923077,12.430635987140978,18.92220618055871,233.727985,2.247384471153846,109466.41052271477,3.6582350000000003,0.03517533653846154,1713.332934002591,0.0223,0.00021442307692307692,10.444196293638266,0.09645500000000001,0.0009274519230769232,45.17466159205735,0.00473,4.548076923076923e-05,2.2152936533143044,0.0,0.0,0.0
3360_29.7,0.5039484539120819,39.5,0.023745100220000002,0.00029681375275,11.082889650387854,21.223260767188364,209.08072,2.613509,97587.22963114285,3.138085,0.0392260625,1464.683216592352,0.0194,0.0002425,9.054838986799792,0.08554,0.00106925,39.92530551189971,0.004405000000000001,5.506250000000001e-05,2.0560085431367576,0.0,0.0,0.0
1560_29.4,0.507723181514601,40.0,0.027711642800000002,0.0003421190469135803,12.838089496341981,18.32165581733758,244.039455,3.0128327777777777,113057.1863436592,3.8920750000000006,0.04805030864197531,1803.0979807691235,0.023715,0.00029277777777777776,10.986547950370884,0.10246,0.0012649382716049381,47.46707581678265,0.00536,6.617283950617285e-05,2.483149779210961,0.0,0.0,0.0
4020_9.13,0.02352795093250383,6.0,0.00399824322,0.0003075571707692308,39.971479454650364,5.8845722078167695,35.19032,2.7069476923076925,351806.80000817246,0.9052199999999999,0.06963230769230769,9049.72024986979,0.00496,0.00038153846153846153,49.58641262826071,0.015365,0.001181923076923077,153.6079092808923,0.0007350000000000001,5.653846153846154e-05,7.34798654874428,0.0,0.0,0.0
1740_8.3,0.675597025551006,70.5,0.043251560700000004,0.00030458845563380283,15.058411945489297,15.620176812509934,380.89330500000005,2.6823472183098596,132611.3601715394,5.881055,0.04141588028169014,2047.5411159921346,0.036,0.00025352112676056335,12.533717194570846,0.15986999999999998,0.001125845070422535,55.66014910822336,0.007935000000000001,5.588028169014085e-05,2.7626401649699908,0.0,0.0,0.0
3780_30.0,0.6674495107901817,69.5,0.026703826620000003,0.00019074161871428575,9.41066253219155,24.99452682524126,235.18263499999998,1.6798759642857142,82880.42170551587,3.238905,0.023135035714285712,1141.4185076381336,0.020284999999999997,0.00014489285714285713,7.148611776955341,0.09422499999999999,0.0006730357142857142,33.20571578425521,0.004365000000000001,3.117857142857143e-05,1.5382642546911547,0.0,0.0,0.0
1800_98.10,0.6273601698265933,60.5,0.022920883580000002,0.0001878760949180328,8.593687006998838,27.37068000179569,201.85295000000002,1.6545323770491804,75680.37539586796,2.295,0.018811475409836066,860.46035756979,0.015220000000000001,0.00012475409836065575,5.706408122968281,0.079005,0.0006475819672131148,29.621207211242385,0.003605,2.9549180327868853e-05,1.3516163786662716,0.0,0.0,0.0
1740_8.6,0.6736488164374034,61.0,0.03501467774,0.0002846721767479675,12.225924284486544,19.239040879929096,308.31163499999997,2.506598658536585,107651.84627788754,4.38004,0.03561008130081301,1529.3597102522535,0.0274,0.00022276422764227642,9.56714004002515,0.127405,0.0010358130081300813,44.48545535764248,0.00631,5.130081300813008e-05,2.2032355347649157,0.0,0.0,0.0
720_29.2,0.5095896607201574,38.5,0.025084452260000004,0.00032159554179487187,11.578415587208063,20.314960655240448,220.859925,2.8315375,101943.94406958453,3.354315,0.04300403846153846,1548.2759072374422,0.020705,0.00026544871794871794,9.556959516131085,0.09079000000000001,0.001163974358974359,41.90660973047772,0.0047350000000000005,6.070512820512821e-05,2.1855688630224916,0.0,0.0,0.0
2640_29.8,0.5109791421285769,42.0,0.02465253104,0.0002900297769411765,11.348108011180695,20.727248707221456,217.11101499999998,2.5542472352941172,99941.02612179781,3.120465,0.036711352941176466,1436.4194008173922,0.019504999999999998,0.0002294705882352941,8.978585054773323,0.088855,0.0010453529411764706,40.90193155815861,0.004465000000000001,5.2529411764705894e-05,2.055338747478231,0.0,0.0,0.0
1920_8.10,0.6740319906424913,68.0,0.030872460780000003,0.0002253464290510949,10.773476223868256,21.832791219517787,271.907505,1.9847263138686133,94886.80092863135,3.922215,0.028629306569343066,1368.724389951251,0.024439999999999996,0.00017839416058394158,8.52875839045248,0.11005999999999999,0.0008033576642335765,38.40733013310965,0.00533,3.8905109489051093e-05,1.8599951808965516,0.0,0.0,0.0
3240_96.1,0.443318259420798,43.0,0.0176136681,0.0002024559551724138,9.34543042140429,25.168991314239538,155.14266,1.7832489655172414,82315.33183151002,2.1401100000000004,0.024598965517241386,1135.4959674272243,0.013485000000000002,0.00015500000000000003,7.154848638974687,0.06303,0.0007244827586206897,33.44235148050237,0.0030050000000000003,3.4540229885057474e-05,1.5943878502127502,0.0,0.0,0.0
1020_9.0,0.7124982756361081,62.0,0.0356896372,0.00028551709759999997,11.782119815700403,19.963729853664866,314.280605,2.51424484,103752.5745389424,4.540115000000001,0.03632092000000001,1498.815429456331,0.028295000000000004,0.00022636000000000002,9.340948979589038,0.129555,0.00103644,42.76962873478203,0.006505000000000001,5.204000000000001e-05,2.1474774028000243,0.0,0.0,0.0
2100_96.1,0.4405656019293598,38.5,0.024454402040000003,0.0003135179748717949,13.0560432932048,18.015799413485055,215.36558999999997,2.761097307692307,114982.26218360617,3.2266299999999997,0.04136705128205128,1722.6763877622664,0.019954999999999997,0.0002558333333333333,10.653842342566708,0.08883,0.001138846153846154,47.42574869908298,0.0045000000000000005,5.76923076923077e-05,2.4025201975219344,0.0,0.0,0.0
60_98.0,0.6249728133736493,79.0,0.03986619652,0.00025073079572327043,15.00406016120735,15.676760461964664,351.06928500000004,2.2079829245283022,132128.5984794029,5.956455,0.037461981132075474,2241.774158783591,0.03558,0.0002237735849056604,13.390905256485638,0.14718,0.0009256603773584906,55.39273287379304,0.00728,4.578616352201258e-05,2.7399041671505184,0.0,0.0,0.0
2280_32.0,0.9199217916666623,80.0,0.0375454455,0.00023320152484472052,9.600005334457244,24.50155483350603,330.63640000000004,2.053642236024845,84540.51247749181,4.6141250000000005,0.028659161490683233,1179.7868962256027,0.029015000000000003,0.00018021739130434785,7.418853367428464,0.13528,0.0008402484472049691,34.58978058058669,0.006745,4.18944099378882e-05,1.7246309137792515,0.0,0.0,0.0
3000_8.3,0.6728512632274886,59.0,0.0372020219,0.00031262203277310923,13.00506692017609,18.08641651349301,327.57731500000006,2.752750546218488,114514.33781094043,5.720605000000001,0.048072310924369754,1999.8066516082008,0.034105,0.0002865966386554622,11.922411327665111,0.13842,0.0011631932773109243,48.388804456103344,0.007295,6.130252100840336e-05,2.5501829830029905,0.0,0.0,0.0
