,Overall_Time,_get_sample_df,_calc_distance_and_time,_calc_summary_statistics,_calc_total_summary_stats,_convert_xy_to_lat_lon
5,37.6310377120972,0.024560689926148,3.93832302093506,4.45744514465332,0.031062364578247,29.1770706176758
10,89.7305948734283,0.036723375320435,9.918869972229,9.61835670471191,0.025813102722168,70.1263470649719
15,134.879729032516,0.040065765380859,19.9706482887268,17.4081783294678,0.026847362518311,97.4276711940765
20,184.378024101257,0.0356924533844,28.9583151340485,22.4683570861816,0.027404546737671,132.88019323349
25,234.910790681839,0.040450096130371,42.350123167038,28.0961148738861,0.03033185005188,164.380334854126
30,291.989330768585,0.051938772201538,56.0532028675079,40.4792010784149,0.036410331726074,195.356197118759
35,330.637308835983,0.045461416244507,74.322722196579,47.0513844490051,0.029829740524292,209.173800706863
40,380.745130062103,0.045015811920166,87.3357772827148,53.5908076763153,0.031251430511475,239.726709842682
45,451.494629383087,0.074607372283936,114.659871578217,63.7406017780304,0.033574104309082,272.964143753052
50,511.703030586243,0.058423280715942,139.630955219269,73.6351807117462,0.03255295753479,298.322880268097
55,568.639300346375,0.058060884475708,155.603867053986,84.5081896781921,0.033148527145386,328.408658027649
60,638.449141979218,0.066288709640503,180.340827465057,97.0493855476379,0.034658193588257,360.932962417603
65,746.858226537704,0.068331956863403,221.354074716568,114.194559335709,0.038115501403809,411.172894954681
70,780.637876272202,0.061596632003784,241.448863983154,121.20535326004,0.035699605941773,417.855080604553
75,897.847989797592,0.074311494827271,275.57469534874,141.201225042343,0.03967809677124,480.924646615982
80,994.368078231812,0.101976871490479,330.4222676754,157.361340284348,0.03786826133728,506.399579048157
85,1074.10335826874,0.078171253204346,367.380244016647,169.645237207413,0.039541244506836,536.921215295792
90,1175.21039819717,0.077335834503174,409.573541641235,187.244278669357,0.040064096450806,578.232616186142
95,1309.99038672447,0.099531173706055,453.452102422714,205.331578731537,0.047150135040283,651.013629198074
