,distance,norm_time,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_fuel,vehicle_CO2,vehicle_CO2,vehicle_CO2,vehicle_CO,vehicle_CO,vehicle_CO,vehicle_HC,vehicle_HC,vehicle_HC,vehicle_NOx,vehicle_NOx,vehicle_NOx,vehicle_PMx,vehicle_PMx,vehicle_PMx,vehicle_electricity,vehicle_electricity,vehicle_electricity
,total,total,total,average_per_step,per_100km,mpg,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km,total,average_per_step,per_100km
Total_sum,83.77513846246815,8908.0,4.530638297620002,,,,39894.14872,,,723.1254799999998,,,4.257580000000002,,,16.551569999999998,,,0.8403700000000001,,,0.0,,
Total_average,0.6114973610399135,65.02189781021897,0.033070352537372276,0.0002710275368498297,12.720651561446095,18.490802610854242,291.19816583941605,2.386627444536425,29590.08701318529,5.27828817518248,0.03916732370013759,536.3529881244043,0.031077226277372274,0.0002362986749820076,3.1579107891187883,0.12081437956204379,0.0009859329583860453,12.276547118281943,0.0061340875912408764,5.006016625411507e-05,0.6233150028541461,0.0,0.0,0.0
2640_8.0,0.6723423685345263,73.0,0.03354588142000001,0.00022820327496598643,11.735831003798031,20.042471387670165,295.403465,2.0095473809523807,103345.17968901727,4.89067,0.03326986394557823,1710.9723812809243,0.02942,0.00020013605442176872,10.292415447634944,0.12065500000000001,0.0008207823129251702,42.210448192875404,0.005955,4.051020408163265e-05,2.083322025515503,0.0,0.0,0.0
2760_97.0,0.6248612991848963,146.0,0.04938431368,0.00016854714566552902,18.58962009239994,12.653031957351205,434.68399999999997,1.4835631399317406,163627.06734380143,14.130155000000002,0.04822578498293516,5318.980739487428,0.07459,0.00025457337883959047,28.077736823012007,0.185635,0.0006335665529010239,69.87814284944139,0.00972,3.31740614334471e-05,3.6588765507397327,0.0,0.0,0.0
3960_11.3,0.7474772734859034,81.0,0.03647686976,0.00022378447705521473,11.478488119867922,20.491815180522316,321.18129,1.97043736196319,101068.85941270123,5.152815,0.031612361963190186,1621.4803010930623,0.031235000000000002,0.00019162576687116565,9.828984196917958,0.13238999999999998,0.0008122085889570551,41.6602919106761,0.00658,4.0368098159509204e-05,2.070584793203783,0.0,0.0,0.0
3000_47.11,0.4054725290638654,31.0,0.02379397204,0.00037768209587301586,13.80290917622616,17.040976949213285,209.559355,3.3263389682539684,121565.61078708974,3.40483,0.05404492063492063,1975.1456029066644,0.02067,0.0003280952380952381,11.990689582763531,0.086995,0.001380873015873016,50.465894545356235,0.0046,7.301587301587302e-05,2.6684650256754834,0.0,0.0,0.0
1560_41.1,0.6919837270401221,59.5,0.032243513460000005,0.0002686959455,10.960026317631508,21.46117630445482,283.992785,2.366606541666667,96533.16477060705,4.062390000000001,0.03385325000000001,1380.8638245245081,0.02537,0.00021141666666666666,8.623621865007241,0.11682000000000001,0.0009735000000000001,39.70877044817288,0.00588,4.9e-05,1.9986951740734165,0.0,0.0,0.0
1560_96.2,0.4411153373689479,38.5,0.02345451102,0.00030069885923076923,12.506602426986198,18.80727067781556,206.54268000000002,2.647983076923077,110134.3439119898,3.153265,0.04042647435897436,1681.40924653268,0.019395000000000003,0.0002486538461538462,10.341957411286819,0.08559499999999999,0.0010973717948717947,45.64165221031684,0.0043549999999999995,5.5833333333333326e-05,2.3222080188787877,0.0,0.0,0.0
3180_47.3,0.40791046087200666,33.0,0.021310755240000003,0.00031807097373134333,12.288506894365007,19.141060759140256,187.68475999999998,2.8012650746268655,108225.42144814388,2.85728,0.042645970149253726,1647.6049104645074,0.017609999999999997,0.00026283582089552235,10.154525448426469,0.07723000000000001,0.001152686567164179,44.533446926858396,0.00394,5.880597014925373e-05,2.271938118500868,0.0,0.0,0.0
